config,config_slug,trial,n_trials,model,harness,effort,arm,outcome,time_min,tokens_k,cost_usd,accounted,session_stamp,slot_id,still_id
GPT-5.6 Sol,gpt56_sol,01,5,GPT-5.6 Sol,Codex CLI,high,left,success,15.164,7813.353,4.3483,yes,20260910_121811,t2-sol_high-t01,t2-sol_high-t01
GPT-5.6 Sol,gpt56_sol,02,5,GPT-5.6 Sol,Codex CLI,high,left,success,15.469,7833.817,4.2437,yes,20260910_124138,t2-sol_high-t02,t2-sol_high-t02
GPT-5.6 Sol,gpt56_sol,03,5,GPT-5.6 Sol,Codex CLI,high,left,success,19.263,9717.873,5.2999,yes,20260910_130635,t2-sol_high-t03,t2-sol_high-t03
GPT-5.6 Sol,gpt56_sol,04,5,GPT-5.6 Sol,Codex CLI,high,left,success,12.29,6156.406,3.4011,yes,20260910_134009,t2-sol_high-t04,t2-sol_high-t04
GPT-5.6 Sol,gpt56_sol,05,5,GPT-5.6 Sol,Codex CLI,high,left,success,9.062,4118.059,2.3967,yes,20260910_135325,t2-sol_high-t05,t2-sol_high-t05
GPT-5.6 Terra,gpt56_terra,01,5,GPT-5.6 Terra,Codex CLI,high,left,failure,30.428,6324.461,2.0396,yes,20260910_140416,t2-terra_high-t01,t2-terra_high-t01
GPT-5.6 Terra,gpt56_terra,02,5,GPT-5.6 Terra,Codex CLI,high,left,failure,22.061,5140.463,1.8564,yes,20260910_143952,t2-terra_high-t02,t2-terra_high-t02
GPT-5.6 Terra,gpt56_terra,03,5,GPT-5.6 Terra,Codex CLI,high,left,failure,21.396,8986.255,2.6203,yes,20260910_150447,t2-terra_high-t03,t2-terra_high-t03
GPT-5.6 Terra,gpt56_terra,04,5,GPT-5.6 Terra,Codex CLI,high,left,success,18.992,6282.276,1.9752,yes,20260910_153132,t2-terra_high-t04,t2-terra_high-t04
GPT-5.6 Terra,gpt56_terra,05,5,GPT-5.6 Terra,Codex CLI,high,left,failure,14.416,2697.669,0.9924,yes,20260910_160051,t2-terra_high-t05,t2-terra_high-t05
GPT-5.6 Luna,gpt56_luna,01,5,GPT-5.6 Luna,Codex CLI,high,right,failure,,,,no,20260910_140859,t2-luna_high-t01,t2-luna_high-t01
GPT-5.6 Luna,gpt56_luna,02,5,GPT-5.6 Luna,Codex CLI,high,right,failure,,,,no,20260910_145339,t2-luna_high-t02,t2-luna_high-t02
GPT-5.6 Luna,gpt56_luna,03,5,GPT-5.6 Luna,Codex CLI,high,right,failure,,,,no,20260910_175025,t2-luna_high-t03,t2-luna_high-t03
GPT-5.6 Luna,gpt56_luna,04,5,GPT-5.6 Luna,Codex CLI,high,left,failure,,,,no,20260910_175314,t2-luna_high-t04,t2-luna_high-t04
GPT-5.6 Luna,gpt56_luna,05,5,GPT-5.6 Luna,Codex CLI,high,left,failure,,,,no,20260911_152948,t2-luna_high-t05,t2-luna_high-t05
Claude Opus 5,claude_opus5,01,5,Claude Opus 5,Claude Code,high,left,success,19.171,9050.08,7.9036,yes,20260910_181307,t2-opus5_high-t01,t2-opus5_high-t01
Claude Opus 5,claude_opus5,02,5,Claude Opus 5,Claude Code,high,right,success,31.896,16724.851,13.0254,yes,20260910_181323,t2-opus5_high-t02,t2-opus5_high-t02
Claude Opus 5,claude_opus5,03,5,Claude Opus 5,Claude Code,high,left,success,14.397,9077.347,6.9425,yes,20260910_183357,t2-opus5_high-t03,t2-opus5_high-t03
Claude Opus 5,claude_opus5,04,5,Claude Opus 5,Claude Code,high,right,success,25.503,15818.482,11.8282,yes,20260910_190043,t2-opus5_high-t04,t2-opus5_high-t04
Claude Opus 5,claude_opus5,05,5,Claude Opus 5,Claude Code,high,left,success,20.01,11319.215,9.0435,yes,20260910_185014,t2-opus5_high-t05,t2-opus5_high-t05
Claude Fable 5.1,claude_fable51,01,5,Claude Fable 5.1,Claude Code,high,right,success,25.172566668192545,9822.0,11.2004785,yes,20260910_192826,t2-fable_high-t01,t2-fable_high-t01
Claude Fable 5.1,claude_fable51,02,5,Claude Fable 5.1,Claude Code,high,right,success,39.7659166653951,11100.493,14.358745749999999,yes,20260910_195913,t2-fable_high-t02,t2-fable_high-t02
Claude Fable 5.1,claude_fable51,03,5,Claude Fable 5.1,Claude Code,high,right,success,18.306983331839245,6874.008,8.329646249999998,yes,20260910_204037,t2-fable_high-t03,t2-fable_high-t03
Claude Fable 5.1,claude_fable51,04,5,Claude Fable 5.1,Claude Code,high,right,failure,,,,no,20260910_212726,t2-fable_high-t04,t2-fable_high-t04
Claude Fable 5.1,claude_fable51,05,5,Claude Fable 5.1,Claude Code,high,right,failure,,,,no,20260910_210323,t2-fable_high-t05,t2-fable_high-t05
